epoch 49000/100000, loss 0.08197192060947424
epoch 49500/100000, loss 0.08140426991507405
epoch 50000/100000, loss 0.08187230474501841
epoch 50500/100000, loss 0.08260329427942625
epoch 51000/100000, loss 0.08220876509323723
epoch 51500/100000, loss 0.08201096546649932
epoch 52000/100000, loss 0.08211497751623394
epoch 52500/100000, loss 0.08342714119702578
epoch 53000/100000, loss 0.08053388506174075
epoch 53500/100000, loss 0.08202653712779287
epoch 54000/100000, loss 0.08225486380606888
epoch 54500/100000, loss 0.08140784065797932
epoch 55000/100000, loss 0.08020625403150909
epoch 55500/100000, loss 0.08246691780909905
epoch 56000/100000, loss 0.08193017927929758
epoch 56500/100000, loss 0.08163841312006118
epoch 57000/100000, loss 0.08049952622130517
epoch 57500/100000, loss 0.08052056531980634
epoch 58000/100000, loss 0.08269429491832847
epoch 58500/100000, loss 0.08150157373771065
epoch 59000/100000, loss 0.08266630322486157
epoch 59500/100000, loss 0.08108663581311695
epoch 60000/100000, loss 0.08016118400171397
epoch 60500/100000, loss 0.08082077911868693
epoch 61000/100000, loss 0.07937237877398727
epoch 61500/100000, loss 0.08138208779878922
epoch 62000/100000, loss 0.08002991333603864
epoch 62500/100000, loss 0.07851041467115287
epoch 63000/100000, loss 0.08098350247740746
epoch 63500/100000, loss 0.08009327724203463
epoch 64000/100000, loss 0.0801129538267851
epoch 64500/100000, loss 0.081422594062984
epoch 65000/100000, loss 0.07992342919856305
epoch 65500/100000, loss 0.08014274268969891
epoch 66000/100000, loss 0.07809756759181619
epoch 66500/100000, loss 0.08016265292465688
epoch 67000/100000, loss 0.08076718415319915
epoch 67500/100000, loss 0.07892367573641226
epoch 68000/100000, loss 0.07881309284642342
epoch 68500/100000, loss 0.08061579224467283
epoch 69000/100000, loss 0.07805303650721918
epoch 69500/100000, loss 0.0823457381390036
epoch 70000/100000, loss 0.08118557215854524
epoch 70500/100000, loss 0.08114691573381419
epoch 71000/100000, loss 0.07888416342064733
epoch 71500/100000, loss 0.08098501377925282
epoch 72000/100000, loss 0.08096271054446696
epoch 72500/100000, loss 0.07717270465940237
epoch 73000/100000, loss 0.07923971416428681
epoch 73500/100000, loss 0.08016060594469314
epoch 74000/100000, loss 0.07951155946403744
epoch 74500/100000, loss 0.07827640394121414
epoch 75000/100000, loss 0.07806313282623895
epoch 75500/100000, loss 0.07991251086443667
epoch 76000/100000, loss 0.07910280689597117
epoch 76500/100000, loss 0.07765474262461067
epoch 77000/100000, loss 0.08063307291269309
epoch 77500/100000, loss 0.07922355987504123
epoch 78000/100000, loss 0.07897041706368321
epoch 78500/100000, loss 0.07996326794847848
epoch 79000/100000, loss 0.07680237375572328
epoch 79500/100000, loss 0.07803857991844422
epoch 80000/100000, loss 0.07917425890266898
epoch 80500/100000, loss 0.08023330315202476
epoch 81000/100000, loss 0.07994713768363003
epoch 81500/100000, loss 0.07887147850915795
epoch 82000/100000, loss 0.07853435735218227
epoch 82500/100000, loss 0.07872100266441705
epoch 83000/100000, loss 0.08023668939247725
epoch 83500/100000, loss 0.08008391587808726
epoch 84000/100000, loss 0.07826119443401697
epoch 84500/100000, loss 0.07630556879006323
epoch 85000/100000, loss 0.08023587970435611
epoch 85500/100000, loss 0.07748679269850255
epoch 86000/100000, loss 0.07937902664020649
epoch 86500/100000, loss 0.07812954125553372
epoch 87000/100000, loss 0.08057574487105004
epoch 87500/100000, loss 0.07886411144025628
epoch 88000/100000, loss 0.07876236787810921
epoch 88500/100000, loss 0.07820146647095681
epoch 89000/100000, loss 0.0775786914415658
epoch 89500/100000, loss 0.07783148895949123
epoch 90000/100000, loss 0.07849949149414895
epoch 90500/100000, loss 0.07882438759878278
epoch 91000/100000, loss 0.07754446783661835
epoch 91500/100000, loss 0.07686869542673228
epoch 92000/100000, loss 0.0792646893523633
epoch 92500/100000, loss 0.07727530332654715
epoch 93000/100000, loss 0.07847233838587993
epoch 93500/100000, loss 0.07684101235494019
epoch 94000/100000, loss 0.07724182050675163
epoch 94500/100000, loss 0.07846299002319575
epoch 95000/100000, loss 0.07742917186766861
epoch 95500/100000, loss 0.07769141237437725
epoch 96000/100000, loss 0.07901188898459072
epoch 96500/100000, loss 0.07831699909642335
epoch 97000/100000, loss 0.07795295647531747
epoch 97500/100000, loss 0.0780388549417258
epoch 98000/100000, loss 0.07656188067048784
epoch 98500/100000, loss 0.078463743198663
epoch 99000/100000, loss 0.07734118967503312
epoch 99500/100000, loss 0.07719308090582494
epoch 100000/100000, loss 0.07621454861760142
